Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
mijn|opa|heeft|wel|twintig|duiven.,mijn|opa|heeft|wel|twintig|duiven.,0,0,0,0
hij|geeft|ze|allemaal|een|naam.,hij|geeft|ze|allemaal|een|naam.,0,0,0,0
ze|wonen|in|een|hok|in|de|tuin.,ze|wonen|in|een|hok|in|de|tuin-,1.0,0,1,0
en|ze|krijgen|elke|dag|granen,|zaden|en|peulvruchten|te|eten.,en|ze|krijgen|elke|dag|granen-|za-ad|en|peulvruchten|te|eten.,6.0,2,2,0
die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|o----m|de|temperatuur|van|hun|lichaam|op|peil|te|kunnen|houden.,die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|ook|om|de|temperatuur|van|hun|lichaam|op|peil|te|kunnen|houden.,4.0,0,0,4
opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,0,0,0,0
eén|van|hen|is|de|postduif.,één|van|hen|is|de|postduif.,2.0,1,0,0
dat|is|een|duif|die|----ee----n|heel|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terugvindt.,dat|is|een|duif|die|in|heel|een|heel|grote|af-tand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terugvindt.,9.0,0,1,8
en|daar|heeft|die|duif|geen|kompas|of|landkaart|voor|nodig.,en|daar|heeft|die|duif|geen|kompas|of|landkaart|voor|nodig.,0,0,0,0
hij|weet|de|weg|door|naar|de|zon|te|kijken!,hij|weet|de|weg|door|naar|de|zon|te|kijken.,2.0,1,0,0
daarom|werden|--------------------ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,daarom|werden|in...|daarom|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,20.0,0,0,20
toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|post|mee|te|vervoeren.,toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|post|mee|te|vervoeren.,0,0,0,0
de|d-uiven|-------droegen|dan|kleine|berichtjes|met|zich|mee|in|een|kokertje|aan|hun---|po---o----t------.,de|druiven|boegen|droegen|dan|kleine|berichtjes|met|zich|mee|in|een|kokertje|aan|hun...|kun|je|niet|lezen.,30.0,3,0,24
nu|zorgt|de|postbode|dat|je|---brief|in|de|juiste|bus|terecht-komt.,nu|zorgt|de|postbode|dat|je|je|brief|in|de|juiste|bus|terecht|komt.,4.0,0,0,4
toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|een|postduivenvereniging.,toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|een|postduivenvereniging.,0,0,0,0
we|noemen|ze|duivenmelkers.,we|noemen|ze|duivenmelkers.,0,0,0,0
maar|ze|gebruiken|hun|duiven|alleen|nog|voor|de|sport.,maar|ze|gebruike----n|duiven|alleen|nog|voor|de|sport.,4.0,0,4,0
de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|---wedstrijden.,de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|de|wedstrijden.,3.0,0,0,3
als|je--|duif|al-s|eerste|thuiskomt,|dan|heb|je|gewonnen.,als|-een|duif|-het|eerste|thuiskomt-|dan|heb|je|gewonnen.,10.0,2,3,3
en|dan|win|je|g--e---ld|of|een|andere|leuke|prijs!,en|dan|win|je|g|je|geld|of|een|andere|leuke|prijs.,7.0,1,0,5
