Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
vroeger|leefden|er|heel|veel|soorten|Indianen.,vroeger|leefden|er-----|veel|soorten|indianen.,5.0,1,5,0
die|woonden|in|het|bos,|de|bergen|of|in|de|woestijn.,die|woonden|in|het|bos-|de|bergen|of|in|de|woestijn.,1.0,0,1,0
soms|waren|het|no-----maden.,soms|waren|het|noba|nomaden.,5.0,0,0,5
dat|zijn|men----sen|die|geen|vaste|plaats|hadden|om|te|wonen.,dat|zijn|men|mensen|die|geen|vaste|plaats|hebben|om|te|wonen.,10.0,3,0,4
ze|moesten|hun|kamp|steeds|verplaatsen.,ze|moesten|hun|kamp|steeds|verplaatsen.,0,0,0,0
dat|deden|ze|om|de|bizons|te|volgen.,dat|deden|ze|om|de|bizons|te|volgen.,0,0,0,0
die|hadden|ze|nodig|om|te|kunnen|leven.,die|hadden|ze|nodig|om|te|kunnen|leven.,0,0,0,0
voor|ons|zijn|lezen|en|schrijven|heel|belangrijk.,voor|ons|zijn|lezen|en|schrijven|heel|belangrijk-,1.0,0,1,0
maar|voor|de|Indianen|was|dat|niet|zo.,maar|voor|de|indianen|was|dat|niet|zo.,0.0,1,0,0
voor|hen|moest|een|jongen|een|goede|jager|en|krij-----ger|worden.,voor|hen|moest|een|jongen|een|goede|jager|en|krij|krijger|worden.,5.0,0,0,5
en|een|meisje|moest|goed|kunnen|koken.,en|een|meisje|moest|goed|kunnen|koken.,0,0,0,0
en|dat|leerden|z--e|niet|op|school.,en|dat|leerden|z|ze|niet|op|school.,2.0,0,0,2
de|va------de-----r,|de|grootvad-ers|en|de|ooms|vertelden|de|kleine|jongen|alle----------s----|ov-er---|----de|---------jac-------h-t-|--en|---de-|o-or-lo-g.,de|va|ggg.|de|vader-|de|grootva-ders|en|de|ooms|vertelden|de|kleine|jongen|alle...|en|er|staat|allemaal|van|de|uh|dingetjes|voor.|huh?|moet|ik|dat|overslaan?,87.0,12,2,61
ze|toonden|hem|hoe|je|het|spoor|van|een|dier|-----volgt|en|hoe|je|een|boog|o--pspant.,ze|toonden|hem|hoe|je|het|spoor|van|een|dier|dier|volgt|en|hoe|je|een|boog|o|opspant.,7.0,0,0,7
meisjes|deden|niet|mee|aan|de|jacht|of|de|oorlog.,meisjes|deden|niet|mee|aan------------|de|oorlog-,13.0,0,13,0
ze|leerden|koken|en|het|huishouden|doen.,ze|leerden|koken|en|het|huishouden|doen.,0,0,0,0
dat|zou|later|immers|hun|taak|zijn.,dat|zou|later|immers|hun|taak|zijn.,0,0,0,0
daarom|h---ielpen|ze|hun|moeder|al|-------heel|jong|met|fruit|plukken|en|hout|zoeken.,daarom|he|hielpen|ze|hun|moeder|al|een|al|heel|jong|met|fruit|plukken|en|hout|zoeken.,10.0,0,0,10
ze|zorgden|ook|vaak|voor|hun|kleine|broertjes|en|zusjes.,ze|zorg-en|ook|vaak|voor|hun|kleine|broertjes|en|zusjes.,1.0,0,1,0
zo|ma------a-kten|z-------e|zich|klaar|voor|hun|rol|als|moeder.,zo|mak|zo|maakten|zich|z|ze|zich|klaar|voor|hun|rol|als|moeder.,14.0,0,0,14
had|jij|graag|als|Indiaan|geboren|willen|zijn?,had|je-|graag|als|indiaan|geboren|willen|zijn?,3.0,2,1,0
of|zou|je|je|---------k------------las|en|de|school|dan|missen?,of|zou|je|je|je|in|de|k|zou|je|je|klas|en|de|school|dan|missen?,21.0,0,0,21
