Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
mijn|opa|heeft|wel|twintig|duiven.,mij-|opa|heeft|wel|twintig|duiven.,1.0,0,1,0
hij|geeft|ze|allemaal|een|naam.,hij|geeft|ze|allemaal|één|naam.,4.0,2,0,0
ze|wonen|in|een|hok|in|de|tuin.,ze|wonen|in|een|hok|in|de|tuin.,0,0,0,0
en|ze|krijgen|elke|dag|gra----nen,|zaden|en|peulvruchten|te|eten.,en|ze|krijgen|elke|dag|gra|granen-|zaden|en|peulvruchten|te|eten.,5.0,0,1,4
die|hebben|ze|nodig|om|---vo---ldoende|energie|te|hebben|en|om|de|temperatuur|van|hun|lichaam|op|peil|te|kunnen|houden.,die|hebben|ze|nodig|om|te|vo|voldoende|energie|te|hebben|en|om|de|temperatuur|van|hun|lichaam|op|peil|te|kunnen|houden.,6.0,0,0,6
opa|vertelde|me|dat|-e---r|veel|soorten|duiven|bestaan.,opa|vertelde|me|dat|het|er|veel|soorten|duiven|bestaan.,4.0,0,0,4
eén|van|hen|is|de|postduif.,één|van|hen|is|de|postduif.,2.0,1,0,0
dat|is|een|duif|die|een|heel-|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terug-vindt.,dat|is|een|duif|die|een|h-ele|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terug|vindt.,3.0,0,1,2
en|daar|heeft|die|duif|geen|kompas|of|landkaart|voor|nodig.,---daar|heeft|d-e|duif-----|kompas|of|landkaart|voor|nodig.,9.0,0,9,0
hij|weet|de|weg|door|naar|de|zon|te|kijken!,hij|weet|de|weg|door|naar|de|zon|te|kijken.,2.0,1,0,0
daarom|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,daarom|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,0,0,0,0
toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|post|mee|te|vervoeren.,toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|post|mee|te|vervoeren.,0,0,0,0
de|duiven|droegen|da-n|kleine|be-r----ichtjes|met|zich|mee|in|een|kokertje|aan---|hun|poot.,de|duiven|droegen|-een|kleine|begr|berichtjes|met|zich|mee|in|één|kokertje|aan...|-u-----h.,24.0,4,7,9
nu|zorgt|de|postbode|dat|-j----e|---brief|in|de|juiste|bus|terecht-komt.,nu|zorgt|de|postbode|dat|!jut|je|de|brief|in|de|juiste|bus|terecht|komt.,9.0,0,0,9
toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|een|postduivenvereniging.,toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|een|postduivenvereniging.,0,0,0,0
we|noemen|ze|d---uivenmelkers.,we|noemen|ze|de|duivenmelkers.,3.0,0,0,3
maar|ze|gebruiken|hun|duiven|alleen|nog|voor|de|sport.,maar|ze|gebruiken|hun|duiven|alleen|nog|voor|de|sport.,0,0,0,0
de|duiven|worden|goed|getraind|om|te|kunnen|mee-doen|aan|---wedstrijden.,---duiven|worden|goed|getraind|om|te|kunnen|mee|doen|aan|de|wedstrijden.,7.0,0,3,4
als|je|duif|als|eerste|thuis-komt,|dan|heb|je|gewonnen.,als|je|duif|als|eerst-|thuis|komt-|dan|heb|je|gewonnen-,4.0,0,3,1
en|dan|win|je|----geld|of|een|andere|leuke|prijs!,en|dan|win|je|een|geld|of|een|andere|leuke|prijs.,6.0,1,0,4
