Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
er|is|een|cameraploeg|op|school|vandaag.,er|is|één|cameraploeg|op|school|vandaag.,4.0,2,0,0
----dat|komt|omdat|het|de|week|van|de|-poëz------ie|is.,uhm|dat|komt|omdat|het|de|week|van|de|!poeze|poezie|is.,13.0,1,0,11
elk-|kind|uit|----------onze|-----klas|schreef|daarom|een|gedicht.,elke|kind|uit|deze|klas|onze|onze|klas|schreef|daarom|één|gedicht.,20.0,2,0,16
en|er|is|één|gedicht|----------dat|win---t-----.,en|er|is|één|gedicht|uh|wat|uh|dat|win|dat|wint.,18.0,0,0,18
in|onze|klas|is|een|man|----druk|bezig.,in|onze|klas|is|één|man|mmm|druk|bezig.,8.0,2,0,4
hij|heeft|een|grote|lamp|bij|zich.,hij|heeft|één|grote|lamp|bij|zich.,4.0,2,0,0
er|komt|nog|iemand|binnen|met|een|luidspreker.,er|komt|nog|iemand|binnen|met|één|luidspreker.,4.0,2,0,0
hij|zet|hem|op|-------het|bureau|van|de|juf.,hij|zet|hem|op|een|op|het|bureau|van|de|juf.,7.0,0,0,7
dan|gaat|de|lamp|aan.,dan|gaat|de|lamp|aan.,0,0,0,0
---de|---reporter|vertelt|over|de|week|van|de|poëzie.,en|de|de|reporter|vertelt|over|de|week|van|de|poezie-,9.0,1,1,6
hij|zegt|dat|één|gedicht|uit----kiezen|moeilijk|was.,hij|zegt|dat|één|gedicht|uit|uitkiezen|moeilijk|was.,4.0,0,0,4
toch|is|er|slech------ts|één|winnaar.,toch|is|er|slech|slechts|één|winnaar.,6.0,0,0,6
het|gedicht|---dat|wint,|---is|---dat|van|Liesbet------------------------.,het|gedicht|en|dat|wint-|uh|is|uh|dat|van|Liesbeth|da|da|dat|van|Liesbeth.,34.0,0,1,33
---de|---hele|klas|klapt|voor|haar.,en|de|de|hele|klas|klapt|voor|haar.,6.0,0,0,6
ze|wordt|een|beetje|rood.,ze|wordt|een|beetje|rood.,0,0,0,0
voor|de|ca---mera|leest|ze|-h--a--a-r|gedicht|aan|ons|voor.,voor|de|ca|camera|leest|ze|!h|ha|haar|gedicht|aan|ons|voor.,9.0,0,0,9
wanneer|---ze|k--laar|is-,----|klappen|we|opnieuw.,wanneer|uh|ze|k|klaar|is|!klap|klappen|we|opnieuw.,12.0,1,0,10
iedereen|staat|om|haar|heen.,iedereen|staat|om|haar|heen.,0,0,0,0
die|avond|kijken|----we|naar|het|nieuws.,die|avond|kijken|ggg|we|naar|het|nieuws.,4.0,0,0,4
we|luisteren|hoe|Liesbet-|het|gedicht|voorleest.,we|luisteren|hoe|Liesbeth|het|gedicht|voorleest.,1.0,0,0,1
ze|spreekt|heel|mooi|en|haar|hoofd|lijkt|niet|zo|rood.,ze|spreekt|heel|mooi|en|haar|hoofd|lijkt|niet|zo|rood.,0,0,0,0
wat|zij---------------------n|we-|trots|op|haar!,wat|zij|wel|trots...|wat|zijn|wij|trots|op|haar.,26.0,2,0,22
