Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
het|is|zondag|en|Joris|verveelt|zich.,het|is|zondag|en|Joris|verveelt|zich.,0,0,0,0
dan|hoort|hij|de|bel.,dan|hoort|hij|de|bel.,0,0,0,0
Joris|loopt|naar|de|deur|en|doet|open.,Joris|loopt|naar|de|deur|en|doet|open.,0,0,0,0
er|staat|een|meisje|op|de|stoep.,er|staat|één|meisje|op|de|stoep.,4.0,2,0,0
kan|iemand|een|handje|helpen?|vraagt|ze.,kan|iemand|één|handje|helpen?|vraagt|ze.,4.0,2,0,0
mijn|auto|heeft|een|lekke|band.,mijn|auto|heeft|één|lekke|band.,4.0,2,0,0
ook|moeder|en|vader|komen|nu|kijken.,ook|moeder|en|vader|komen|nu|kijken.,0,0,0,0
vader|wil|de|band|wel|vervangen.,vader|wil|de|band|wel|vervangen.,0,0,0,0
kijk|maar|goed,|Joris,|zegt|hij|stoer.,kijk|maar|goed-|Joris-|zegt|hij|stoer.,2.0,0,2,0
eerst|neemt|hij|de--|wieldop|weg.,eerst|neemt|hij|-één|wieldop|weg.,5.0,1,1,2
dan|haalt|hij|een|krik|uit|de|kof----------f-er---.,dan|haalt|hij|één|krik|uit|de|kof|uit|de|kofferbak.,18.0,2,0,14
zo|kan|hij|één|kant|van|de|auto|optillen.,zo|kan|hij|één|kant|van|de|auto|optillen.,0,0,0,0
de|lekke|band|schroeft|hij|los.,de|lekke|band|schroeft|hij|los.,0,0,0,0
dan|kan|de|nieuwe|band|erop.,dan|kan|de|nieuwe|band|erop.,0,0,0,0
ten|slotte|gaa------------t|de|-----d---op|weer|op|het|wiel.,ten-slotte|gaan|de|dop|gaat|de|gaat|de|dop|weer|op|het|wiel.,21.0,0,1,20
de|handen|van|vader|zijn|erg|zwart.,de|handen|van|vader|zijn|erg|zwart.,0,0,0,0
en|op|zijn|wang|zit|een|veeg.,---op|zijn|wang|zit|één|veeg.,7.0,2,3,0
maar|dat|is|niet|erg.,maar|dat|is|niet|erg.,0,0,0,0
Joris|kijkt|hem|vol|trots|aan.,Joris|kijkt|hem|vol|trots|aan.,0,0,0,0
en|van|moeder|krijgt|hij|een|zoen.,en|van|moeder|krijgt|hij|één|zoen.,4.0,2,0,0
blij|rijdt|het|meisje|weer|naar|huis.,blij|rijdt|het|meisje|weer|naar|huis.,0,0,0,0
zo|was|het|toch|geen|saaie|dag!,zo|was|het|toch|geen|saaie|dag.,2.0,1,0,0
