Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
vroeger|leefden|er|heel|veel|soorten|Indianen.,vroeger|leefden|er|heel|veel|soorten|indianen.,0.0,1,0,0
die|woonden|in|het|bos,|de|bergen|of|in|de|woestijn.,die|woonden|in|het|bos-|de|bergen|of|in|de|woestijn.,1.0,0,1,0
soms|waren|het|nom-ad-en.,soms|waren|het|no-ma-den-,5.0,0,3,2
dat|zijn|mensen|die|geen|vaste|plaats|hadden|om|te|wonen.,dat|zijn|mensen|die|geen|vaste|plaats|hadden|om|te|wonen.,0,0,0,0
ze|moesten|hun|kamp|steeds|verplaatsen.,ze|moesten|hun|kamp|steeds|verplaatsen.,0,0,0,0
dat|deden|ze|om|de|bizons|te|volgen.,dat|deden|ze|om---|bizons|te|volgen.,3.0,0,3,0
die|hadden|ze|nodig|om|te|kunnen|leven.,d-e|hadden|ze|nodig|om|te|kunnen|leven.,1.0,0,1,0
voor|ons|zijn|lezen|en|schrijven|heel|belangrijk.,voor|ons|zijn|lezen|en|schrijven|heel|belangrijk.,0,0,0,0
maar|voor|de|Indianen|was|dat|niet|zo.,maar|voor---|indianen|was|dat|niet|zo.,3.0,1,3,0
voor|hen|moest|een|jongen|een|goede|jager|en|krijger|worden.,voor|hen|moest|een|jongen|een|goede|jager|en|krijger|worden.,0,0,0,0
en|een|meisje|moest|goed|kunnen|koken.,---een|meisje|moest|goed|kunnen|koken.,3.0,0,3,0
en|dat|leerden|ze|niet|op|school.,---dat|leerden|ze|niet|op|school.,3.0,0,3,0
de|vader,|de|grootvaders|en|de|ooms|vertelden|----de|kleine|jongen|alles|over|de|jacht|en|de|oorlog.,de|vader-|de|grootvaders|en|de|ooms|vertelden|nog|de|kleine|jongen|alles|over|de|jacht|en---|oorlog.,8.0,0,4,4
ze|toonden|hem|hoe|je|het|spoor|van|een|dier|----v---------------olgt|en|hoe|je|een|boog|------o----pspant.,ze|toonden|hem----|je|het|spoor|van|een|dier|die|v|van|een|dier|volgt|en|hoe|je|een|boog|spant|ont|opspant.,33.0,0,4,29
meisjes|deden|niet|mee|aan|de|jacht|of|de|oorlog.,meisjes|deden|niet|mee|aan------------|de|oorlog.,12.0,0,12,0
ze|leerden|koken|en|het|huishouden|doen.,ze|leerden|koken|en|het|huishouden|doen.,0,0,0,0
------dat|zou|later|immers|hun|taak|zijn.,ze...|dat|zou|later|immers|hun|taak|zijn.,6.0,0,0,6
daarom|hielpen|ze|hun|moeder|al|heel|jong|met|fruit|plukken|en|hout|zoeken.,daarom|hielpen---|hun|moeder|al|heel|jong|met|fruit|plukken|en|hout|zoeken.,3.0,0,3,0
ze|zorgden|ook|vaak|voor|hun|kleine|broertjes|en|zusjes.,ze|zorgden|oo-----k|voor|hun|kleine|broertjes|en|zusjes.,5.0,0,5,0
zo|maakten|ze|zich|klaar|voor|hun|rol|als|moeder.,ze|maakten---|zich|klaar|voor|hun|rol|als|moeder.,5.0,1,3,0
had|jij|graag|als|Indiaan|geboren|willen|zijn?,had|jij|graag|als|indiaan|geboren|willen|zijn?,0.0,1,0,0
of|zou|je|-j--e|klas|en---|-d------e|------s-----chool|dan|missen?,of|zou|je|in|de|klas|en...|of|zou|je|je|klas|en|school|dan|missen?,28.0,2,0,24
