Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
vroeger|leefden|er|heel|veel|soorten|Indianen.,vroeger|leefden|er-----|veel|soorten|indianen.,5.0,1,5,0
die|woonden|in|het|bos,|de|bergen|of|in|de|woestijn.,die|woonden|in|het|bos-|de|bergen|of|in|de|woestijn.,1.0,0,1,0
soms|waren|het|no--------m-a-----den.,soms|waren|het|nor|nor|nomba|nomaden.,14.0,0,0,14
dat|zijn|mensen|die|geen|vaste|plaats|hadden|om|te|wonen.,dat|zijn|mensen|die|geen|vaste|plaats|hadden|om|te|wonen.,0,0,0,0
ze|moesten|hun|kamp|steeds|verplaatsen.,ze|moesten|hun|kamp|steeds|verplaatsen.,0,0,0,0
----d------at|deden|ze|om|de|bizons|te|volgen.,wat|deden|dat|deden|ze|om|de|bizons|te|volgen.,10.0,0,0,10
die|hadden|ze|nodig|om|te|kunnen|leven.,die|hadden|ze|nodig|om|te|kunnen|leven.,0,0,0,0
voor|ons|zijn|le---zen|en|schrijven|heel|belangrijk.,voor|ons|zijn|le|lezen|en|schrijven|heel|belangrijk.,3.0,0,0,3
maar|voor|de|Indianen|was|dat|niet|zo.,maar|voor---|indianen|was|dat|niet|zo.,3.0,1,3,0
voor|hen|moest|--------e--------e----------n|---j--------o---n--g----------en|--e-----------en|----goede|jag----er|en|krijger|worden.,voor|hen|moest|één|jongen|één|goede|jager|en|krijgen|en|worden.|voor|voor|hen|moest|één|jongen|één|goede|jag|jager|en|krijger|worden.,75.0,1,0,73
en|een|meisje|moest|goed|kunnen|koken.,---één|meisje|moest|goed|kunnen|koken.,7.0,2,3,0
en|dat|leerden|ze|niet|op|school.,en|dat|leerden|ze|niet|op|school.,0,0,0,0
de|vader,|de|grootvaders|en|de|ooms|vertelden|de|kleine|jongen|alles|over|de|jacht|en|de|oorlog.,de|vader-|de|grootvaders|en|de|ooms|vertelde-|de|kleine|jongen|alles|over|de|jacht|en|de|oorlog.,2.0,0,2,0
ze|toonden|hem|hoe|je|het|spoor|van|-e---e--n|----dier|volgt|en|hoe|je|een|boog|o-pspant.,ze|toonden|hem|hoe|je|het|spoor|van|de|dieren|één|dier|volgt|en|hoe|je|één|boog|aanspant.,19.0,4,0,11
meisjes|deden|niet|mee|aan|de|jacht|of|de|oorlog.,meisjes|deden|niet|mee|aan------------|de|oorlog.,12.0,0,12,0
ze|leerden|koken|en|het|huishouden|doen.,ze|leerden|koken|en|het|huishouden|doen.,0,0,0,0
dat|z------ou|later|immers|hun|taak|zijn.,dat|z|dat|zou|later|immers|hun|taak|zijn.,6.0,0,0,6
daarom|hielpen|ze|hun|moeder|al|heel|jong|met|fruit|plukken|en|hout|zoeken.,daarom|hielpen|ze|hun|moeder|al|heel|jong|met|fruit|plukken|en|hout|zoeken.,0,0,0,0
ze|zorgden|ook|vaak|voor|hun|kleine|broertjes|en|zusjes.,ze|zorgden|ook|vaak|voor|hun|kleine|broertjes|en|zusjes.,0,0,0,0
zo|maakten|ze|zich|klaar|voor|hun|rol|als|moeder.,zo|maakten|ze|zich|klaar|voor|de-|rol|als|moeder.,5.0,2,1,0
had|jij|graag|als|Indiaan|geboren|willen|zijn?,had|jij|graag|als|indiaan|geboren|willen|zijn?,0.0,1,0,0
of|zou|je|je|klas|en|de|school|dan|missen?,of|zou|je|je|klas|en|de|school|dan|missen?,0,0,0,0
