Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
mijn|opa|heeft|wel|twintig|duiven.,mijn|opa|heeft|wel|twintig|duiven.,0,0,0,0
hij|geeft|ze|allemaal|een|naam.,hij|geeft|ze|allemaal|een|naam.,0,0,0,0
ze|wonen|in|een|hok|in|de|tuin.,ze|wonen|in|een|hok|in|de|tuin.,0,0,0,0
en|ze|krijgen|elke|dag|granen,|zaden|en|peulvruchten|te|eten.,en|ze|krijgen|elke|dag|granen-|zaden|en|peulvruchten|te|eten.,1.0,0,1,0
die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|de|temperatuur|van|hun|lichaam|op|peil|te|-------kunnen|houden.,die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|de|temperatuur|van|hun|lichaam|op|peil|te|hou|te|kunnen|houden.,7.0,0,0,7
opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,0,0,0,0
eén|van|hen|is|de|postduif.,één|van|hun|is|de|postduif.,4.0,2,0,0
dat|is|een|duif|die|een|heel|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terug-vindt.,dat|is|een|duif|die|een|heel|grote|afstand|in|één-----|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terug|vindt.,6.0,0,5,1
en|daar|heeft|die|duif|geen|kompas|of|landkaart|voor|nodig.,en|daar|heeft|die|duif|geen|kompas|of|landkaart|voor|nodig.,0,0,0,0
hij|weet|de|weg|door|naar|de|zon|te|kijken!,hij|weet|de|weg|door|naar|de|zon|te|kijken.,2.0,1,0,0
daarom|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,daarom|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,0,0,0,0
toen|had|men|immers|nog|ge--e-n|auto|of|vliegtuig|om|post|mee|te|v--ervoeren.,toen|ha-|men|immers|nog|ge|geen|auto|of|vliegtuig|om|post|mee|te|v|vervoeren.,6.0,0,1,5
de|duiven|droegen|dan|kleine|ber----ichtjes|met|zich|mee|in|een|ko-k--e---r--------------t-je---|-a----a-n|h------u----n-|poot.,de|duiven|droegen|dan|kleine|ber|berichtjes|met|zich|mee|in|een|kooktje|aan...|kan|ik|niet|lezen|want|daar|zit|zo|uh|ding|voor.,57.0,6,0,45
nu|zorgt|de|postbode|dat|je|---brief|in|de|juiste|bus|terecht-komt.,nu|zorgt|de|postbode|dat|je|de|brief|in|de|juiste|bus|terecht|komt.,4.0,0,0,4
toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|een|postduivenvereniging.,toch|zijn|veel|mensen|in|Nederland|en|Belgie|lid|van|een|postduivenvereniging.,2.0,1,0,0
we|noemen|ze|d---uivenmelkers.,we|noemen|ze|de|duivenmelkers.,3.0,0,0,3
maar|ze|ge---bruiken|hun|duiven|alleen|nog|voor|de|sport.,maar|ze|ge|gebruiken|hun|duiven|alleen|nog|voor|de|sport.,3.0,0,0,3
de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|wedstrijden.,de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|wedstrijden.,0,0,0,0
als|je|duif|als|eerste|thuiskomt,|dan|heb|je|gewonnen.,als|je|duif|als|eerste|thuiskomt-|dan|heb|je|gewonnen.,1.0,0,1,0
en|dan|win|je|geld|of|een|andere|leuke|prijs!,---dan|win|je|geld|of|een|andere|leuke|prijs.,5.0,1,3,0
