Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
mijn|opa|heeft|wel|twintig|duiven.,mijn|opa|heeft|wel|twintig|duiven.,0,0,0,0
hij|geeft|ze|allemaal|een|naam.,hij|geeft|ze|allemaal|een|naam.,0,0,0,0
ze|wonen|in|een|hok|in|de|tuin.,ze|wonen|in|een|hok|in|de|tuin.,0,0,0,0
en|ze|krijgen|elke|dag|granen,|zaden|en|peulvruchten|te|eten.,en|ze|krijgen|elke|dag|granen-|zaden|en|peulvruchten|te|eten.,1.0,0,1,0
die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|de|temperatuur|van|hun|lichaam|op|-p--eil|te|kunnen|houden.,die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|de|temperatuur|van|hun|lichaam|op|op|peil|te|kunnen|houden.,3.0,0,0,3
opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,0,0,0,0
eén|van|hen|is|de|postduif.,één|van|hen|is|de|postduif.,2.0,1,0,0
dat|is|een|duif|die|een|heel|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terugvindt.,dat|is|één|duif|die|een|heel|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terugvindt.,4.0,2,0,0
en|daar|heeft|die|duif|geen|kompas|of|landkaart|voor|nodig.,en|daar|heeft|die|duif|geen|kompas|of|landkaart|voor|nodig.,0,0,0,0
hij|weet|de|weg|door|-----naar|de|zon|te|kijken!,hij|weet|de|weg|door|door|naar|de|zon|te|kijken.,7.0,1,0,5
daarom|werden|ze|-----------------in|d-e|------tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,daarom|werden|ze|daarom|werden|ze|in|die|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,24.0,0,0,24
toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|post|mee|te|vervoeren.,toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|post|mee|te|vervoeren.,0,0,0,0
de|duiven|droegen|dan|kleine|berichtjes|met|zich|mee|in|een|kokertje|aan|hun|poot.,de|duiven|droegen|dan|kleine|berichtjes|met|zich|mee|in|één|kokertje|aan|hun|poot.,4.0,2,0,0
nu|zorgt|de|postbode|dat|je|brief|in|de|juiste|bus|terecht-komt.,nu|zorgt|de|postbode|dat|je|brief|in|de|juiste|bus|terecht|komt.,1.0,0,0,1
toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|een|postduivenvereniging.,toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|één|postduivenvereniging.,4.0,2,0,0
we|noemen|ze|duivenmelkers.,we|noemen|ze|duivenmelkers.,0,0,0,0
maar|ze|gebruiken|hun|duiven|alleen|nog|voor|de|sport.,maar|ze|gebruiken|hun|duiven|alleen|nog|voor|de|sport.,0,0,0,0
de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|wedstrijden.,de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|wedstrijden.,0,0,0,0
als|je|duif|als|eerste|thuiskomt,|dan|heb|je|gewonnen.,als|je|duif|als|eerst-|thuiskomt-|dan|heb|je|gewonnen.,2.0,0,2,0
en|dan|win|je|geld|of|een|andere|leuke|prijs!,en|dan|win|je|geld|of|een|andere|leuke|prijs.,2.0,1,0,0
