Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
er|is|een|cameraploeg|op|school|vandaag.,er|is|een|cameraploeg|op|school|vandaag.,0,0,0,0
dat|komt|-----om----dat|het|de|week|van|de|poëzie|is.,dat|komt|dat|komt|omdat|het|de|week|van|de|poëzie|is.,9.0,0,0,9
elk|kind|uit|onze|klas|schreef|daarom|een|gedicht.,elk|kind|uit|--de|klas|schreef|daarom|een|gedicht.,4.0,1,2,0
e------n|er|is|één|gedicht|dat|wint.,er|is|en|er|is|een|gedicht|dat|wint.,10.0,2,0,6
in|onze|klas|is|e--e-n|----------man|druk|bezig.,in|onze|klas|is|er|een|is|er|een|man|druk|bezig.,13.0,0,0,13
hij|heeft|een|grote|lamp|bij|zich.,hij|heeft|een|grote|lamp|bij|zich.,0,0,0,0
er|komt|nog|iemand|binnen|met|een|luidspreker.,er|komt|nog|iemand|binnen|met|een|luidspreker.,0,0,0,0
hij|zet|hem|op|h-------e-------t|---------bureau|van|de|juf.,hij|zet|hem|op|zijn|bureau|v|zet|'m|op|de|bureau|van|de|juf.,25.0,1,0,23
dan|gaat|de|lamp|aan.,dan|gaat|de|lamp|aan.,0,0,0,0
de|r--e---porter|vertelt|over|de|week|van|de|poëzie.,de|r|de|reporter|vertelt|over|de|week|van|de|poëzie.,5.0,0,0,5
hij|z------egt|dat|één|gedicht|uit-kiezen|moeilijk|was.,hij|z|hij|zegt|dat|een|gedicht|uit|kiezen|moeilijk|was.,11.0,2,0,7
toch|is|er|slechts|één|winnaar.,toch|is|er|slechts|één|winnaar.,0,0,0,0
het|gedicht|dat|wint,|is|da-------t|va--n|Liesbet-.,het|gedicht|dat|wint-|is|dan|is|dat|va|uh|Liesbeth.,13.0,1,1,10
de|hele|klas|klapt|voor|haar.,de|hele|klas|klapt|voor|haar.,0,0,0,0
ze|wordt|een|beetje|rood.,ze|wordt|een|beetje|rood.,0,0,0,0
voor|de|camera|leest|ze|haar|gedicht|aan|ons|voor.,voor|de|camera|leest|ze|haar|gedicht|aan|ons|voor.,0,0,0,0
wanneer|ze|klaar|is,|klappen|we|opnieuw.,wanneer|ze|klaar|is-|klappen|we|opnieuw.,1.0,0,1,0
iedereen|staat|om|haar|heen.,iedereen|staat|om|haar|heen.,0,0,0,0
die|avond|kijken|we|naar|het|nieuws.,d-e|avond|kijken|we|naar|het|nieuws.,1.0,0,1,0
we|luisteren|hoe|Liesbet-|h-----e-t---|gedicht|voorleest.,we|luisteren|hoe|Liesbeth|haar|ge|haar|gedicht|voorleest.,12.0,1,0,10
ze|spreekt|heel|mooi|en|haar|hoofd|lijkt|niet|zo|rood.,ze|spreekt|heel|mooi|en|haar|hoofd|lijkt|niet|zo|rood.,0,0,0,0
wa----t|----zijn|we|trots|op|haar!,wan|wat|wat|zijn|we|trots|op|haar.,10.0,1,0,8
