Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
het|is|zondag|en|Joris|verveelt|zich.,het|is|zondag|en|Joris|verveelt|zich.,0,0,0,0
dan|hoort|hij|de|bel.,dan|hoort|hij|de|bel.,0,0,0,0
Joris|loopt|naar|de|deur|en|doet|open.,Joris|loopt|naar|de|deur|en|doet|open.,0,0,0,0
er|staat|een|meisje|op|de|stoep.,er|staat|één|meisje|op|de|stoep.,4.0,2,0,0
kan|iemand|een|handje|helpen?|vraagt|ze.,kan|iemand|één|handje|helpen-|vraagt|ze-,6.0,2,2,0
mijn|auto|heeft|een|lekke|band.,mijn|auto|heeft|één|lekke|band.,4.0,2,0,0
ook|moeder|en|vader|komen|nu|kijken.,ook|moeder|en|vader|komen|nu|kijken.,0,0,0,0
vader|wil|de|band|wel|vervangen.,vader|wil|de|band|wel|vervangen.,0,0,0,0
kijk|maar|goed,|Joris,|zegt|hij|stoer.,kijk|maar|goed-|Joris-|zegt|hij|stoer.,2.0,0,2,0
eerst|neemt|hij|de--|--wieldop|weg.,eerst|neemt|hij|-één|v|wieldop|weg-,8.0,1,2,4
dan|haalt|hij|een|krik|uit|de|koffer.--------,dan|haalt|hij|één|krik|uit|de|koffer-bonk-bak,13.0,2,1,8
zo|kan|hij|één|k-an----t|van|de|auto|optillen.,zo|kan|hij|één|kwan|kant|van|de|auto|optillen.,5.0,0,0,5
de|lekke--|---------band|schroeft|hij|los.,de|lekkere|de|lekke|band|schroeft|hij|los.,11.0,0,0,11
dan|kan|---de|nieuwe|band|erop.-,dan|kan|ik|de|nieuwe|band|erop-z,5.0,0,1,4
te----n|slotte|gaat|de|dop|weer|op|he---t|wiel.,tes|ten|slotte|gaat|de|dop|weer|op|he|het|wiel.,7.0,0,0,7
de|handen|van|vader|zijn|erg|zwart.,de|hand--|van|vader|-i-s|erg|zwart.,6.0,1,4,0
en|op|zijn|wang|zit|een|veeg.,en|op|zijn|wang|zit|één|veeg.,4.0,2,0,0
maar|dat|is|niet|erg.------------------------,maar|dat|is|niet|erg.|maar|dat|is|niet|w|erg.,24.0,0,0,24
Joris|kijkt|hem|vol|trots|aan.,Joris|kijkt|hem|vol|trots|aan.,0,0,0,0
en|van|moeder|krijgt|hij|een|zo-----en.,en|van|moeder|krijgt|hij|één|zo'n|zoen.,9.0,2,0,5
blij-|---rijdt|het|meisje|weer|naar|huis.,blijt|uh|rijdt|het|meisje|weer|naar|huis.,4.0,0,0,4
zo|was|het|toch|geen|saaie|----------dag!,zo|was|het|toch|geen|saaie|!uh|saaie|dag.,12.0,1,0,10
