Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
mijn|opa|heeft|wel|twintig|duiven.,mijn|opa|heeft|wel|twintig|duiven.,0,0,0,0
hij|geeft|ze|allema--al------|een|naam.,hij|geeft|ze|allemal|allemaal|een|naam.,8.0,0,0,8
ze|wonen|in|een|hok|in|de|tuin.,ze|wonen|in|een|hok|in|de|tuin.,0,0,0,0
en|ze|krijgen|elke|dag|granen,|zaden|en|peulvruchten|te|eten.,en|ze|krijgen|elke|dag|granen-|zaden|en|peulvruchten|te|eten.,1.0,0,1,0
die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|de|temperatuur|van|hun|lichaam|op|peil|te|kunnen|houden.,die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|de|temperatuur|van|hun|lichaam|op|peil|te|kunnen|houden.,0,0,0,0
opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,0,0,0,0
eén|van|hen|is|-----de|postduif.,een|van|hen|is|p|is|de|postduif.,7.0,1,0,5
dat|is|een|duif|die|een|heel|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terug-vindt.,dat|is|een|duif|die|een|heel|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terug|vindt.,1.0,0,0,1
en|daar|heeft|die|duif|geen|kompas|of|landkaart|voor|nodig.,en|daar|heeft|die|duif|geen|kompas|of|landkaar-|voor|nodig.,1.0,0,1,0
hij|weet|de|weg|door|-----naar|de|zon|te|kijken!,hij|weet|de|weg|door|door|naar|de|zon|te|kijken.,7.0,1,0,5
daarom|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,daarom|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,0,0,0,0
toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|post|mee|te|vervoeren.,toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|post|mee|te|vervoeren.,0,0,0,0
de|duiven|droegen|dan|kleine|berichtjes|met|zich|mee|in|een|kokertje|aan|hun|poot---------------.,de|duiven|droegen|dan|kleine|berichtjes|met|zich|mee|in|een|kokertje|aan|hun|pootje|aan|hun|poot.,15.0,0,0,15
nu|zorgt|de|postbode|dat|je|brief-|in|de|juiste|bus|terecht-komt.,nu|zorgt|de|postbode|dat|je|brieft|in|de|juiste|bus|terecht|komt.,2.0,0,0,2
toch|zijn|---veel|mensen|in|Nederland|en|België|lid|van|e-en|postduivenvereniging.,toch|zijn|er|veel|mensen|in|Nederland|en|België|lid|van|-de-|postduivenvereniging.,6.0,0,2,4
we|noemen|ze|duivenmelk-e---rs.,we|noemen|ze|duivenmel-melkers-,6.0,0,2,4
maar|ze|gebruiken|hun|duiven|alleen|nog|voor|de|sport.,maar|ze|gebruiken|de-|duiven|alleen|nog|voor|de|sport.,5.0,2,1,0
de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|wedstrijden.,de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|wedstrijden.,0,0,0,0
als|je|duif|als|eerste|thuis-komt,|dan|heb|je|gewonnen.,als|je|duif|als|eerste|thuis|komt-|dan|heb|je|gewonnen.,2.0,0,1,1
en|dan|win|je|geld|of|een|andere|leuke|prijs!,en|dan|win|je|geld|of|een|andere|leuke|prijs.,2.0,1,0,0
