Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
vroeger|leefden|er|heel|veel|soorten|Indianen.,vroeger|leefden|er|heel|veel|soorten|Indianen.,0,0,0,0
die|woonden|in|het|bos,|de|bergen|of|in|de|woestijn.,die|woonden|in|het|bos-|de|bergen|of|in|de|woestijn.,1.0,0,1,0
soms|waren|het|nomaden.,soms|waren|het|nomaden.,0,0,0,0
dat|zijn|mensen|die|geen|vaste|plaats|hadden|om|te|wonen.,dat|zijn|mensen|die|geen|vaste|plaats|hadden|om|te|wonen.,0,0,0,0
ze|moesten|hun|kamp|steeds|verplaatsen.,ze|moesten|hun|kamp|steeds|verplaatsen.,0,0,0,0
dat|deden|ze|om|de|bizons|te|volgen.,dat|deden|ze|om|de|bizons|te|volgen.,0,0,0,0
die|hadden|ze|nodig|om|te|kunnen|leven.,die|hadden|ze|nodig|om|te|kunnen|leven.,0,0,0,0
voor|ons|zijn|le-----zen|en|schrijven|heel|belangrijk.,voor|ons|zijn|leef|lezen|en|schrijven|heel|belangrijk.,5.0,0,0,5
maar|voor|de|Indianen|was|dat|niet|zo.,maar|voor|de|Indianen|was|dat|niet|zo.,0,0,0,0
voor|hen|moest|een|jongen|een|goede|jager|en|krijger|worden.,voor|hen|moest|een|jongen|een|goede|jager|en|krijger|worden.,0,0,0,0
en|een|meisje|moest|goed|kunnen|koken.,en|één|meisje|moest|goed|kunnen|koken.,4.0,2,0,0
en|dat|leerden|ze|niet|op|school.,en|dat|leerden|ze|niet|op|school.,0,0,0,0
de|vader,|de|grootvaders|en|de|ooms|vertelden|de|k---leine|jongen|alles|over|de|jacht|en|de|oorlog.,de|vader-|de|grootvaders|en|de|ooms|vertelden|de|kn|kleine|jongen|alles|over|de|jacht|en|de|oorlog.,4.0,0,1,3
ze|toonden|hem|hoe|je|het|spoor|van|een|dier|volgt|en|hoe|je|een|boog|---opspant.,ze|toonden|hem|hoe|je|het|spoor|van|een|dier|volgt|en|hoe|je|één|boog|sp|opspant.,7.0,2,0,3
meisjes|deden|niet|mee|aan|de|jacht|of|de|oorlog.,meisjes|deden|niet|mee|aan------------|de|oorlog.,12.0,0,12,0
ze|leerden|koken|en|het|huishouden|doen.,ze|leerden|koken|en|het|huishouden|doen.,0,0,0,0
dat|zou|later|immers|hun|taak|zijn.,dat|zou|later|immers|hun|taak|zijn.,0,0,0,0
daarom|hielpen|ze|hun|moeder|al|heel|jong|m--et|fruit|plukken|en|hout|zoeken.,daarom|hielpen|ze|hun|moeder|al|heel|jong|m|met|fruit|plukken|en|hout|zoeken.,2.0,0,0,2
ze|zorgden|ook|vaak|voor|hun|kleine|broertjes|en|zusjes.,ze|zorgden|ook|vaak|voor|hun|kleine|broertjes|en|zusjes.,0,0,0,0
zo|maakten|ze|zich|klaar|voor|hun|rol|als|moeder.,ze|maakten---|zich|klaar|voor|hun|rol|als|moeder.,5.0,1,3,0
had|jij|graag|als|Indiaan|geboren|willen|zijn?,had|jij|graag|als|I-diaan|geboren|willen|zijn?,1.0,0,1,0
of|zou|je|je|klas|en|de|school|dan|missen?,of|zou|je|je|klas|en|de|school|dan|missen?,0,0,0,0
