Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
vroeger|leefden|er|heel|veel|soorten|Indianen.,vroeger|leefden|er|heel|veel|soorten|Indianen.,0,0,0,0
die|woonden|in|het|bos,|--------------------de|bergen|of|in|de|woestijn--.,die|w-on-en|in|het|bos.|ze|brengen...|ze|br|de|bergen|of|in|de|woestijnen.,26.0,1,2,22
soms|waren|het|no-ma------den.,soms|waren|het|norma|normaden-,8.0,0,1,7
dat|zijn|mensen|die|geen|vaste|plaats|hadden|om|te|wonen.,dat|zijn|mensen|die|geen|vaste|plaats|hadden|om|te|wonen.,0,0,0,0
ze|moesten|hun|kamp|steeds|verplaatsen.,ze|moesten|hun|kamp|steeds|verplaatsen.,0,0,0,0
dat|deden|ze|om|de|bizons|te|volgen.,dat|deden|ze|om|de|bizons|te|volgen.,0,0,0,0
die|hadden|ze|nodig|om|te|kunnen|leven.,die|hadden|ze|nodig|om|te|kunnen|leven.,0,0,0,0
voor|ons|zijn|-----lezen|en|schrijven|heel|belangrijk.,voor|ons|zijn|zijn|lezen|en|schrijven|heel|belangrijk.,5.0,0,0,5
ma--a-r|voor|de|Indianen|was|dat|niet|zo.,ma|maar|voor|de|Indianen|was|dat|niet|zo.,3.0,0,0,3
voor|hen|moest--|een|jo---n----gen|een|goede|jager|en|krijger|worden.,voor|hen|moesten|een|jo|een|jongen|een|goede|jager|en|krijgen|worden-,12.0,1,1,9
en|een|meisje|moest|goed|kunnen|koken.,en|een|meisje|moest|goed|kunnen|koken.,0,0,0,0
en|dat|leerden|ze|niet|op|school.,en|dat|leerden|ze|niet|op|school.,0,0,0,0
de---|---vader,|de|grootvaders|en|de|ooms|vertelden|de|kleine|jongen---|------al-l-e-s|-ov--e----r|de-|jac--h----t|-e--n-|---------de|oorlog.-----------------------,de...|de|vader-|de|grootvaders|en|de|ooms|vertelden|de|kleine|jongen...|d'r|sta-at|een|balkje|voor|dat|kan|ik|niet|lezen.|en|alles|de|oorlog.|de|toonden|voor|nee...,86.0,8,2,68
ze|toonden|hem|hoe|je|het|spoor|van|een|dier|volgt|en|hoe|je|een|boog|o---pspant.,de|toonden|hem|hoe|je|het|spoor|van|een|dier|volgt|en|hoe|je|een|boog|om|opspant.,5.0,1,0,3
meisjes|deden|niet|mee|aan|de|jacht|of|de|oorlog.,meisjes|deden|niet|mee|aan------------|de|oorlog.,12.0,0,12,0
ze|leerden|koken|en|het|huishouden|doen.,ze|leerden|koken|en|het|huishouden|doen.,0,0,0,0
dat|----zou|later|immers|hun|taak|zijn.,dat|dat|zou|later|immers|hun|taak|zijn.,4.0,0,0,4
daarom|hielpen|ze|hun|moeder|al|heel|------------jong|met|fruit|plukken|en|hout|zoeken.,daarom|hielpen|ze|hun|moeder|al|heel|!uh|al|heel|jong|met|fruit|plukken|en|hout|zoeken.,12.0,0,0,12
ze|zorgden|ook|vaak|voor|hun|kleine|broertjes|en|zusjes.,ze|zorgden|ook|vaak|voor|hun|kleine|broertjes|en|zusjes.,0,0,0,0
zo|maakten|ze|zich|klaar|voor|hun|rol|als|moeder.,zo|maakten|ze|zich|klaar|voor|hun|rol|als|moeder.,0,0,0,0
had|jij|graag|als|Indiaan|geboren|willen|zijn?,had|jij------|als|indiaan|geboren|willen|zijn?,6.0,1,6,0
of|zou|je|je|klas|en|---de|school|dan|missen?,of|zou|je|je|klas|en|en|de|school|dan|missen?,3.0,0,0,3
