Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
er|is|een|--------cameraploeg|op|school|vandaag.,er|is|een|een|een|cameraploeg|op|school|vandaag.,8.0,0,0,8
dat|komt|omdat|het|de-|-------------week|van|de|poëzie|is.,dat|komt|omdat|het|dee|omdat|het|de|week|van|de|poezie|is.,16.0,1,0,14
elk|--k--ind|uit|onze|klas|schreef|daarom|een|gedicht.,elk|elk|kind|uit|onze|klas|schreef|daarom|een|gedicht.,4.0,0,0,4
en|er|is|----één|gedicht|dat|wint.,en|er|is|een|één|gedicht|dat|wint.,4.0,0,0,4
in|onze|klas|is|een|man|druk|bezig.,in|onze|klas|is|een|man|druk|bezig.,0,0,0,0
hij|heeft|een|grote|lamp|bij|zich.,hij|heeft|een|grote|lamp|bij|zich.,0,0,0,0
er|komt|nog|iemand|binnen|met|een|luidspreker.,er|komt|nog|iemand|binnen|met|een|luidspreker.,0,0,0,0
hij|zet|he-m|op|het|bureau|van|de|juf.,hij|zet|--'m|op|het|bureau|van|de|juf.,3.0,0,2,1
dan|gaat|de|------------lamp|aan.,dan|gaat|de|dan|gaat|de|lamp|aan.,12.0,0,0,12
de|---repor------------ter|vertelt|over|de|week|van|de|poëzie.,de|de|repor|de|re|reporter|vertelt|over|de|week|van|de|poezie-,18.0,1,1,15
hij|zegt|dat|---één|gedicht|uit--k------i-------ezen|moeilij-----------------------------k-----|---------was.,hij|zegt|dat|er|één|gedicht|uitgekozen|uit|uitkiezen|moeilij|hij|zegt|dat|een|gedicht|uitkiezen|moeilijk|was.,61.0,0,0,61
toch|is|er|slechts|één|winnaar.,toch|is|er|slechts|één|winnaar.,0,0,0,0
het|gedicht|dat|wint,|is|dat|van|Liesbet-.,het|gedicht|dat|wint-|is|dat|van|Liesbeth.,2.0,0,1,1
de|hele|klas|klapt|voor|haar.,de|hele|klas|klapt|voor|haar.,0,0,0,0
ze|wordt|een|beetje|rood.,ze|wordt|een|beetje|rood.,0,0,0,0
voor|de|camera|leest|ze|ha-------------------a-r|gedicht|aan|ons|voor.,voor|de|camera|leest|ze|hard...|ze|leest|ze|haar|gedicht|aan|ons|voor.,20.0,0,0,20
wanneer|ze|klaar|is,|kla----ppen|we|opnieuw.,wanneer|ze|klaar|is-|kla|klappen|we|opnieuw.,5.0,0,1,4
iedereen|staat|------om|haar|heen.,iedereen|staat|staat|om|haar|heen.,6.0,0,0,6
die|avond---|--------------kijken|we|naar|het|nieuws.,die|avond...|nee|die|avond|kijken|we|naar|het|nieuws.,17.0,0,0,17
we|luisteren|hoe|Lies-----bet-|-------h--et|gedicht|voorleest.,we|luisteren|hoe|Lies|Liesbeth|Liesbeth|het|gedicht|voorleest.,15.0,0,0,15
ze|---spreekt|heel|mooi|en|haar|--hoofd|lijkt|niet|zo|rood.,ze|ze|spreekt|heel|mooi|en|haar|o|hoofd|lijkt|niet|zo|rood.,5.0,0,0,5
wa---t|zijn|we|trots|op|haar!,wa|wat|zijn|we|trots|op|haar.,5.0,1,0,3
