Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
er|is|een|cameraploeg|op|school|vandaag.,er|is|een|cameraploeg|op|school|vandaag.,0,0,0,0
dat|komt|omdat|-h-e---t|---de|week|van|de|poëzie|is.,dat|komt|omdat|'t|omdat|'t|de|week|van|de|poezie|is.,14.0,3,0,8
elk|kind|uit|onze|klas|schreef|daarom|een|gedicht.,elk|kind|uit|onze|klas|schreef|daarom|een|gedicht.,0,0,0,0
en|er|is|één|gedicht|dat|wint.,en|er|is|een|gedicht|dat|wint.,4.0,2,0,0
in|onze|klas|is|een|man|druk|bezig.,in|onze|klas|is|een|man|druk|bezig.,0,0,0,0
hij|heeft|een|grote|lamp|bij|zich.,hij|heeft|een|grote|lamp|bij|zich.,0,0,0,0
er|komt|nog|iemand|binnen|met|een|luidspreker.,er|komt|nog|iemand|binnen|met|een|luidspreker.,0,0,0,0
hij|zet|hem|op|het|bureau|van|de|juf.,hij|zet|hem|op|het|bureau|van|de|juf.,0,0,0,0
dan|g--a---a-t|de|lamp|aan.,dan|g|dan|gaat|de|lamp|aan.,6.0,0,0,6
de|reporter|vertelt|over|de|week|van|de|poëzie.,de|reporter|vertelt|over|de|week|van|de|poezie-,3.0,1,1,0
hij|zegt|dat|één|gedicht|uitkiezen|moeilijk|was.,hij|zegt|dat|een|gedicht|uitkiezen|moeilijk|was.,4.0,2,0,0
toch|is|er|slechts|één|winnaar.,toch|is|er|slechts|één|winnaar.,0,0,0,0
het|gedicht|dat|wint,|is|dat|van|Liesbet-.,het|gedicht|dat|wint-|is|dat|van|Liesbeth.,2.0,0,1,1
de|hele|klas|klapt|voor|haar.,de|hele|klas|klapt|voor|haar.,0,0,0,0
ze|wordt|een|beetje|rood.,ze|wordt|een|beetje|rood.,0,0,0,0
voor|de|camera|leest|ze|haar|gedicht|-----a-----------a-------------n|ons|voor.,voor|de|camera|leest|ze|haar|gedicht|voor|a|leest|ze|haar|gedicht|aan|ons|voor.,29.0,0,0,29
wanneer|ze|klaar|is,|klappen|we|opnieuw.,wanneer|ze|klaar|is-|klappen|we|opnieuw.,1.0,0,1,0
iedereen|staat|om|haar|heen.,iedereen|staat|om|haar|heen.,0,0,0,0
die|avond|kijken|we|naar|het|nieuws.,die|avond|kijken|we|naar|het|nieuws.,0,0,0,0
we|luisteren|hoe|Liesbet-|het|gedicht|voorleest.,---luisteren|hoe|Liesbeth|het|gedicht|voorleest.,4.0,0,3,1
ze|spreekt|---heel|mooi|en|haar|hoofd|lijkt|niet|zo|rood.,---spreekt|'t|heel|mooi|en|haar|hoofd|lijkt|niet|zo|rood.,6.0,0,3,3
wa---t|zijn|we|trots|op|haar!,wa|wat|zijn|we|trots|op|haar.,5.0,1,0,3
