Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
het|is|zondag-|en|Joris|ve---rveelt|zich.,het|is|zondag.|en|Joris|ve|verveelt|zich.,4.0,0,0,4
dan|hoort|hij|de|bel.,dan|hoort|hij|de|bel.,0,0,0,0
Joris|loopt|naar|de|deur|--e-------n|doet|open.,Joris|loopt|naar|de|deur|toe.|e|e|en|doet|open.,9.0,0,0,9
er|staat|een|meisje|op|de|stoep.,er|staat|één|meisje|of|de|stoep.,6.0,3,0,0
kan|iemand|een|handje|helpen?|vraagt|ze.,kan|iemand|één|handje|helpen?|vraagt|ze.,4.0,2,0,0
mijn|auto|heeft|een|lekke|band.,mijn|auto|heeft|één|lekke|band.,4.0,2,0,0
ook|moeder|en|vader|komen|nu|kijken.,ook|moeder|en|vader|komen|nu|kijken.,0,0,0,0
vader|wil|de--|band|--wel|vervangen.,vader|wil|-een|band|v|wel|vervangen.,5.0,0,1,4
-k----------ijk|maar|goed,|Joris,|zegt|hij|stoer.,ik|maar...|kijk|maar|goed-|Joris-|zeg-|hij|stoer.,14.0,0,3,11
eerst|------neemt|hij|de|wieldop|weg.,eerst|eerst|neemt|hij|de|wieldop|weg.,6.0,0,0,6
dan|haalt|hij|e-en|krik|uit|de|koffer---.,dan|haalt|hij|-de-|krik|uit|de|kofferbak.,6.0,0,2,4
zo|kan|hij|één|kant|van|de|auto|opt----illen.,zo|kan|hij|één|kant|van|de|auto|opt|optillen.,4.0,0,0,4
de|lekke|band|sch----roef-----------------t|hij|los.,de|lekke|band|sch|schroef|hij|los.|schroeft|hij|los.,21.0,0,0,21
dan|kan|de|nieuwe|band|erop.,dan|kan|de|nieuwe|band|erop.,0,0,0,0
ten|slotte|gaat|de|d---op|weer|op|het|wiel.,ten|slotte|gaat|de|de|dop|weer|op|het|wiel.,3.0,0,0,3
de|ha------nden|van|-----vader|zijn|erg|zwart.,de|ha|de|handen|van|zijn|vader|zijn|erg|zwart.,11.0,0,0,11
en|op|zijn|wang|zit|een|------------veeg.,---op|zijn|wang|zit|één|zit|één|wee|veeg.,19.0,2,3,12
maar|dat|is|niet|erg.,maar|dat|is|niet|erg.,0,0,0,0
Joris|kijkt|hem|vol|trots|aan.,Joris|kijkt|hem|vol|trots|aan.,0,0,0,0
en|van|moeder|krijgt|hij|een|zoen.,en|van|moeder|krijg-|hij|één|zoen.,5.0,2,1,0
blij|rijdt|het|meisje|weer|naar|huis.,blij|rijdt|het|meisje|weer|naar|huis.,0,0,0,0
zo|was|het|toch|geen|saaie|dag!,zo|was|het|toch|geen|saaie|dag.,2.0,1,0,0
